size,psnr,ssim,loss,frame_id,nframes,model_id,video
10679.0,42.013423919677734,0.9691669940948486,0.0,0,0,128,video-1.mp4
1730.0652160644531,38.19456100463867,0.9629594683647156,0.0,1,0,128,video-1.mp4
1888.4566192626953,36.854248046875,0.953898549079895,0.0,2,0,128,video-1.mp4
2127.919235229492,36.380714416503906,0.9486616849899292,0.0,3,0,128,video-1.mp4
2501.609649658203,36.301483154296875,0.9446327686309814,0.0,4,0,128,video-1.mp4
2420.480010986328,36.09621047973633,0.9385157823562622,0.0,5,0,128,video-1.mp4
2019.8453216552734,35.85456085205078,0.9333375692367554,0.0,6,0,128,video-1.mp4
1952.1785888671875,35.676963806152344,0.927355170249939,0.0,7,0,128,video-1.mp4
2397.1227111816406,35.55799102783203,0.9234439134597778,0.0,8,0,128,video-1.mp4
2168.8182678222656,35.5192985534668,0.9212394952774048,0.0,9,0,128,video-1.mp4
1984.5424499511719,35.59635925292969,0.9193634390830994,0.0,10,0,128,video-1.mp4
1898.2661437988281,35.387691497802734,0.9191310405731201,0.0,11,0,128,video-1.mp4
1885.8008422851562,35.09686279296875,0.914695143699646,0.0,12,0,128,video-1.mp4
2069.4171447753906,35.11648178100586,0.9135411977767944,0.0,13,0,128,video-1.mp4
2116.7979125976562,35.22927474975586,0.9161460399627686,0.0,14,0,128,video-1.mp4
2081.142364501953,35.117767333984375,0.9153329730033875,0.0,15,0,128,video-1.mp4
1730.0652160644531,38.194549560546875,0.9629594683647156,0.0,1,1,128,video-1.mp4
1888.4566192626953,36.854244232177734,0.9538984298706055,0.0,2,1,128,video-1.mp4
2127.919235229492,36.38071060180664,0.9486616849899292,0.0,3,1,128,video-1.mp4
2501.609649658203,36.30147933959961,0.9446327090263367,0.0,4,1,128,video-1.mp4
2420.480010986328,36.09620666503906,0.9385156631469727,0.0,5,1,128,video-1.mp4
2019.8453216552734,35.85456085205078,0.9333375692367554,0.0,6,1,128,video-1.mp4
1952.1785888671875,35.676963806152344,0.927355170249939,0.0,7,1,128,video-1.mp4
2397.1227111816406,35.55799102783203,0.9234437942504883,0.0,8,1,128,video-1.mp4
2168.8182678222656,35.51930618286133,0.9212395548820496,0.0,9,1,128,video-1.mp4
1984.5424499511719,35.59636306762695,0.9193634986877441,0.0,10,1,128,video-1.mp4
1898.2661437988281,35.38768768310547,0.9191310405731201,0.0,11,1,128,video-1.mp4
1885.8008422851562,35.09687042236328,0.9146952629089355,0.0,12,1,128,video-1.mp4
2069.4171447753906,35.116485595703125,0.9135411977767944,0.0,13,1,128,video-1.mp4
2116.7979125976562,35.22928237915039,0.9161460399627686,0.0,14,1,128,video-1.mp4
2081.142364501953,35.117767333984375,0.9153329730033875,0.0,15,1,128,video-1.mp4
1730.0652160644531,37.168373107910156,0.9614330530166626,0.1,1,1,128,video-1.mp4
1888.4566192626953,36.07795715332031,0.9522030353546143,0.1,2,1,128,video-1.mp4
2127.919235229492,35.499244689941406,0.9467641711235046,0.1,3,1,128,video-1.mp4
2501.609649658203,35.83817672729492,0.9435226917266846,0.1,4,1,128,video-1.mp4
2420.480010986328,35.728240966796875,0.9374759197235107,0.1,5,1,128,video-1.mp4
2019.8453216552734,35.60506820678711,0.9325151443481445,0.1,6,1,128,video-1.mp4
1952.1785888671875,35.42634963989258,0.9266312122344971,0.1,7,1,128,video-1.mp4
2397.1227111816406,35.29574203491211,0.9227527976036072,0.1,8,1,128,video-1.mp4
2168.8182678222656,35.05099105834961,0.9196697473526001,0.1,9,1,128,video-1.mp4
1984.5424499511719,35.2698860168457,0.9183773994445801,0.1,10,1,128,video-1.mp4
1898.2661437988281,35.24333953857422,0.9180642366409302,0.1,11,1,128,video-1.mp4
1885.8008422851562,34.92625427246094,0.9138158559799194,0.1,12,1,128,video-1.mp4
2069.4171447753906,34.584896087646484,0.9121701121330261,0.1,13,1,128,video-1.mp4
2116.7979125976562,35.06376266479492,0.9151242971420288,0.1,14,1,128,video-1.mp4
2081.142364501953,34.7772102355957,0.9138808250427246,0.1,15,1,128,video-1.mp4
1730.0652160644531,35.33108901977539,0.9592107534408569,0.2,1,1,128,video-1.mp4
1888.4566192626953,34.59102249145508,0.9493665099143982,0.2,2,1,128,video-1.mp4
2127.919235229492,35.041664123535156,0.9455293416976929,0.2,3,1,128,video-1.mp4
2501.609649658203,35.09107208251953,0.9421235918998718,0.2,4,1,128,video-1.mp4
2420.480010986328,35.33657455444336,0.9366260766983032,0.2,5,1,128,video-1.mp4
2019.8453216552734,35.34619903564453,0.9318251013755798,0.2,6,1,128,video-1.mp4
1952.1785888671875,35.079959869384766,0.9258880019187927,0.2,7,1,128,video-1.mp4
2397.1227111816406,34.754112243652344,0.9201485514640808,0.2,8,1,128,video-1.mp4
2168.8182678222656,34.991790771484375,0.91902756690979,0.2,9,1,128,video-1.mp4
1984.5424499511719,34.90171432495117,0.9165542125701904,0.2,10,1,128,video-1.mp4
1898.2661437988281,34.94618606567383,0.916625440120697,0.2,11,1,128,video-1.mp4
1885.8008422851562,34.63357162475586,0.912509560585022,0.2,12,1,128,video-1.mp4
2069.4171447753906,34.76129913330078,0.9118059873580933,0.2,13,1,128,video-1.mp4
2116.7979125976562,34.61058807373047,0.9139851331710815,0.2,14,1,128,video-1.mp4
2081.142364501953,34.77250289916992,0.9137983322143555,0.2,15,1,128,video-1.mp4
1730.0652160644531,34.74592971801758,0.9573328495025635,0.3,1,1,128,video-1.mp4
1888.4566192626953,33.917236328125,0.9483304023742676,0.3,2,1,128,video-1.mp4
2127.919235229492,34.20372009277344,0.9433168172836304,0.3,3,1,128,video-1.mp4
2501.609649658203,34.819244384765625,0.9413577914237976,0.3,4,1,128,video-1.mp4
2420.480010986328,34.89994430541992,0.935743510723114,0.3,5,1,128,video-1.mp4
2019.8453216552734,35.0461311340332,0.9309312701225281,0.3,6,1,128,video-1.mp4
1952.1785888671875,34.940826416015625,0.9247655868530273,0.3,7,1,128,video-1.mp4
2397.1227111816406,34.6541748046875,0.9196509122848511,0.3,8,1,128,video-1.mp4
2168.8182678222656,34.54936599731445,0.9177898168563843,0.3,9,1,128,video-1.mp4
1984.5424499511719,34.800899505615234,0.9163632392883301,0.3,10,1,128,video-1.mp4
1898.2661437988281,34.71038818359375,0.9153496026992798,0.3,11,1,128,video-1.mp4
