size,psnr,ssim,loss,frame_id,nframes,model_id,video
11073.0,42.819156646728516,0.9771427512168884,0.0,0,0,128,video-0.mp4
1026.978929400444,41.97635269165039,0.9760159850120544,0.0,1,0,128,video-0.mp4
1706.274642944336,38.466453552246094,0.964651346206665,0.0,2,0,128,video-0.mp4
1896.9663696289062,38.459938049316406,0.9658696055412292,0.0,3,0,128,video-0.mp4
2182.0134887695312,38.001731872558594,0.9656585454940796,0.0,4,0,128,video-0.mp4
2017.0772552490234,37.77595138549805,0.9644500613212585,0.0,5,0,128,video-0.mp4
1674.4995727539062,37.80295944213867,0.9650251269340515,0.0,6,0,128,video-0.mp4
2180.015625,38.136138916015625,0.9670903086662292,0.0,7,0,128,video-0.mp4
2342.3557739257812,37.873382568359375,0.967566192150116,0.0,8,0,128,video-0.mp4
2068.8916625976562,37.72576904296875,0.9649769067764282,0.0,9,0,128,video-0.mp4
2062.207244873047,37.37385559082031,0.9628140926361084,0.0,10,0,128,video-0.mp4
2007.927474975586,37.29126739501953,0.9627313017845154,0.0,11,0,128,video-0.mp4
2194.148162841797,37.272281646728516,0.9642621874809265,0.0,12,0,128,video-0.mp4
1932.5012512207031,37.41625213623047,0.9644845724105835,0.0,13,0,128,video-0.mp4
2174.7968139648438,37.56322479248047,0.9661380052566528,0.0,14,0,128,video-0.mp4
2100.1033325195312,37.49310302734375,0.9659533500671387,0.0,15,0,128,video-0.mp4
1026.978929400444,41.97635269165039,0.9760159850120544,0.0,1,1,128,video-0.mp4
1706.274642944336,38.46646499633789,0.964651346206665,0.0,2,1,128,video-0.mp4
1896.9663696289062,38.45994567871094,0.9658696055412292,0.0,3,1,128,video-0.mp4
2182.0134887695312,38.001739501953125,0.9656585454940796,0.0,4,1,128,video-0.mp4
2017.0772552490234,37.77595520019531,0.9644501209259033,0.0,5,1,128,video-0.mp4
1674.4995727539062,37.802955627441406,0.9650251865386963,0.0,6,1,128,video-0.mp4
2180.015625,38.136138916015625,0.9670903086662292,0.0,7,1,128,video-0.mp4
2342.3557739257812,37.87340545654297,0.9675662517547607,0.0,8,1,128,video-0.mp4
2068.8916625976562,37.72578430175781,0.964976966381073,0.0,9,1,128,video-0.mp4
2062.207244873047,37.37385559082031,0.9628140926361084,0.0,10,1,128,video-0.mp4
2007.927474975586,37.29127883911133,0.9627313017845154,0.0,11,1,128,video-0.mp4
2194.148162841797,37.272281646728516,0.9642621278762817,0.0,12,1,128,video-0.mp4
1932.5012512207031,37.41625213623047,0.9644845724105835,0.0,13,1,128,video-0.mp4
2174.7968139648438,37.56320571899414,0.9661378860473633,0.0,14,1,128,video-0.mp4
2100.1033325195312,37.49309539794922,0.9659532904624939,0.0,15,1,128,video-0.mp4
1026.978929400444,41.93528747558594,0.9759577512741089,0.1,1,1,128,video-0.mp4
1706.274642944336,37.86820983886719,0.9638814926147461,0.1,2,1,128,video-0.mp4
1896.9663696289062,38.02587890625,0.9651991724967957,0.1,3,1,128,video-0.mp4
2182.0134887695312,36.861331939697266,0.9638657569885254,0.1,4,1,128,video-0.mp4
2017.0772552490234,36.95051574707031,0.9626098871231079,0.1,5,1,128,video-0.mp4
1674.4995727539062,37.23283386230469,0.9641653299331665,0.1,6,1,128,video-0.mp4
