size,psnr,ssim,loss,frame_id,nframes,model_id,video
13341.0,42.156715393066406,0.9718043208122253,0.0,0,0,128,video-5.mp4
1608.7936248779297,39.968238830566406,0.972703218460083,0.0,1,0,128,video-5.mp4
1905.6044311523438,38.95210266113281,0.9671775698661804,0.0,2,0,128,video-5.mp4
2326.909713745117,37.925621032714844,0.963183581829071,0.0,3,0,128,video-5.mp4
2525.6841583251953,37.253135681152344,0.9590792655944824,0.0,4,0,128,video-5.mp4
4478.719177246094,36.12677001953125,0.9534564018249512,0.0,5,0,128,video-5.mp4
3690.936233520508,36.18939971923828,0.9544239044189453,0.0,6,0,128,video-5.mp4
3702.6564025878906,36.13759231567383,0.9545536041259766,0.0,7,0,128,video-5.mp4
3712.3443145751953,36.05366134643555,0.9542250633239746,0.0,8,0,128,video-5.mp4
3180.618133544922,35.824703216552734,0.9528001546859741,0.0,9,0,128,video-5.mp4
3844.4817504882812,35.61441421508789,0.9521109461784363,0.0,10,0,128,video-5.mp4
2274.7750244140625,35.844581604003906,0.9552448987960815,0.0,11,0,128,video-5.mp4
2156.046905517578,35.72806930541992,0.9539200067520142,0.0,12,0,128,video-5.mp4
2543.234115600586,35.69197082519531,0.9551295638084412,0.0,13,0,128,video-5.mp4
2777.766357421875,35.61137771606445,0.9552930593490601,0.0,14,0,128,video-5.mp4
3367.13623046875,35.36849594116211,0.9531416296958923,0.0,15,0,128,video-5.mp4
1608.7936248779297,39.96823501586914,0.972703218460083,0.0,1,1,128,video-5.mp4
1905.6044311523438,38.95209884643555,0.9671775698661804,0.0,2,1,128,video-5.mp4
2326.909713745117,37.92561721801758,0.963183581829071,0.0,3,1,128,video-5.mp4
2525.6841583251953,37.25313186645508,0.9590791463851929,0.0,4,1,128,video-5.mp4
4478.719177246094,36.126792907714844,0.9534565806388855,0.0,5,1,128,video-5.mp4
3690.936233520508,36.18940734863281,0.9544240236282349,0.0,6,1,128,video-5.mp4
3702.6564025878906,36.13759994506836,0.9545536041259766,0.0,7,1,128,video-5.mp4
3712.3443145751953,36.05365753173828,0.9542250037193298,0.0,8,1,128,video-5.mp4
3180.618133544922,35.824703216552734,0.9528001546859741,0.0,9,1,128,video-5.mp4
3844.4817504882812,35.61442184448242,0.9521111249923706,0.0,10,1,128,video-5.mp4
2274.7750244140625,35.844581604003906,0.955244779586792,0.0,11,1,128,video-5.mp4
2156.046905517578,35.728065490722656,0.9539200067520142,0.0,12,1,128,video-5.mp4
2543.234115600586,35.69196701049805,0.9551295042037964,0.0,13,1,128,video-5.mp4
2777.766357421875,35.61137771606445,0.9552931189537048,0.0,14,1,128,video-5.mp4
3367.13623046875,35.36849594116211,0.9531416893005371,0.0,15,1,128,video-5.mp4
1608.7936248779297,39.14004898071289,0.9711394309997559,0.1,1,1,128,video-5.mp4
1905.6044311523438,38.23021697998047,0.9653662443161011,0.1,2,1,128,video-5.mp4
2326.909713745117,37.00398254394531,0.9609706401824951,0.1,3,1,128,video-5.mp4
2525.6841583251953,35.96205520629883,0.9558627009391785,0.1,4,1,128,video-5.mp4
4478.719177246094,33.515106201171875,0.9455512762069702,0.1,5,1,128,video-5.mp4
3690.936233520508,34.24734115600586,0.9488336443901062,0.1,6,1,128,video-5.mp4
3702.6564025878906,34.025970458984375,0.9498988389968872,0.1,7,1,128,video-5.mp4
3712.3443145751953,34.533870697021484,0.9498074054718018,0.1,8,1,128,video-5.mp4
3180.618133544922,34.31570053100586,0.9495121240615845,0.1,9,1,128,video-5.mp4
3844.4817504882812,32.79513931274414,0.9443811774253845,0.1,10,1,128,video-5.mp4
2274.7750244140625,35.191810607910156,0.9532901644706726,0.1,11,1,128,video-5.mp4
2156.046905517578,35.20465850830078,0.9521393775939941,0.1,12,1,128,video-5.mp4
2543.234115600586,34.671531677246094,0.9526262283325195,0.1,13,1,128,video-5.mp4
2777.766357421875,34.84342575073242,0.9530736804008484,0.1,14,1,128,video-5.mp4
3367.13623046875,33.169219970703125,0.9487609267234802,0.1,15,1,128,video-5.mp4
1608.7936248779297,38.57821273803711,0.9695345759391785,0.2,1,1,128,video-5.mp4
1905.6044311523438,37.677215576171875,0.964310884475708,0.2,2,1,128,video-5.mp4
2326.909713745117,35.71390151977539,0.9572111964225769,0.2,3,1,128,video-5.mp4
2525.6841583251953,34.39942932128906,0.9510495662689209,0.2,4,1,128,video-5.mp4
4478.719177246094,30.24325942993164,0.9356012344360352,0.2,5,1,128,video-5.mp4
3690.936233520508,32.317359924316406,0.9431655406951904,0.2,6,1,128,video-5.mp4
3702.6564025878906,32.11969757080078,0.9435597658157349,0.2,7,1,128,video-5.mp4
3712.3443145751953,33.314517974853516,0.9453976154327393,0.2,8,1,128,video-5.mp4
3180.618133544922,33.39630126953125,0.9458388090133667,0.2,9,1,128,video-5.mp4
3844.4817504882812,30.927139282226562,0.9386481046676636,0.2,10,1,128,video-5.mp4
2274.7750244140625,34.30816650390625,0.9511205554008484,0.2,11,1,128,video-5.mp4
