psnr,ssim,size,yuvpsnr,yuvssim,bpp,loss,frame_id,model,video
44.72507095336914,0.9814829230308533,167929,0,0,1.3666097005208333,0,0,265-9,video-1.mp4
44.24599838256836,0.979083776473999,65976,0,0,0.5369140625,0,1,265-9,video-1.mp4
44.08577346801758,0.9785652160644531,74936,0,0,0.6098307291666667,0,2,265-9,video-1.mp4
44.03406524658203,0.9784795641899109,82755,0,0,0.6734619140625,0,3,265-9,video-1.mp4
44.083152770996094,0.9792009592056274,79238,0,0,0.6448404947916667,0,4,265-9,video-1.mp4
43.970672607421875,0.9786150455474854,86138,0,0,0.7009928385416667,0,5,265-9,video-1.mp4
44.04016876220703,0.9791492223739624,80262,0,0,0.653173828125,0,6,265-9,video-1.mp4
43.95769119262695,0.9789019823074341,86649,0,0,0.7051513671875,0,7,265-9,video-1.mp4
43.94020462036133,0.9791611433029175,90453,0,0,0.7361083984375,0,8,265-9,video-1.mp4
44.01367950439453,0.9796196222305298,78857,0,0,0.6417399088541667,0,9,265-9,video-1.mp4
43.99618911743164,0.9796048998832703,83402,0,0,0.6787272135416667,0,10,265-9,video-1.mp4
44.00107955932617,0.9795968532562256,85716,0,0,0.69755859375,0,11,265-9,video-1.mp4
43.940921783447266,0.9796881079673767,79140,0,0,0.64404296875,0,12,265-9,video-1.mp4
43.89970397949219,0.979647159576416,83298,0,0,0.677880859375,0,13,265-9,video-1.mp4
43.89212417602539,0.9797844886779785,88849,0,0,0.7230550130208333,0,14,265-9,video-1.mp4
43.933773040771484,0.9802586436271667,74529,0,0,0.6065185546875,0,15,265-9,video-1.mp4
43.66713333129883,0.9786714315414429,118566,0,0,0.964892578125,0,16,265-9,video-1.mp4
43.80506896972656,0.9792184233665466,94308,0,0,0.76748046875,0,17,265-9,video-1.mp4
43.70853042602539,0.9787828326225281,90978,0,0,0.740380859375,0,18,265-9,video-1.mp4
43.65418243408203,0.9788972735404968,98014,0,0,0.7976399739583333,0,19,265-9,video-1.mp4
44.498497009277344,0.9803022742271423,120340,0,0,0.9793294270833334,0,0,265-12,video-1.mp4
43.86216354370117,0.9770948886871338,41208,0,0,0.3353515625,0,1,265-12,video-1.mp4
43.716651916503906,0.9764801263809204,48039,0,0,0.3909423828125,0,2,265-12,video-1.mp4
43.63949966430664,0.9762169718742371,52925,0,0,0.4307047526041667,0,3,265-12,video-1.mp4
43.71523666381836,0.9769520163536072,50467,0,0,0.41070149739583334,0,4,265-12,video-1.mp4
43.569305419921875,0.9762169718742371,55144,0,0,0.44876302083333336,0,5,265-12,video-1.mp4
43.6500358581543,0.9768955707550049,51992,0,0,0.42311197916666665,0,6,265-12,video-1.mp4
43.56076431274414,0.9766036868095398,55688,0,0,0.45319010416666666,0,7,265-12,video-1.mp4
43.52293395996094,0.9767740964889526,58445,0,0,0.4756266276041667,0,8,265-12,video-1.mp4
43.62221908569336,0.9773232340812683,50311,0,0,0.4094319661458333,0,9,265-12,video-1.mp4
43.598052978515625,0.9772956371307373,52252,0,0,0.42522786458333334,0,10,265-12,video-1.mp4
43.56679153442383,0.9770175814628601,54472,0,0,0.44329427083333334,0,11,265-12,video-1.mp4
