size,psnr,ssim,loss,frame_id,nframes,model_id,video
11073.0,42.81915664672852,0.9771426916122437,0.0,0,0,64,video-0.mp4
549.336067199707,42.40123748779297,0.9784409999847412,0.0,1,0,64,video-0.mp4
830.0348014831543,37.83241653442383,0.9651615023612976,0.0,2,0,64,video-0.mp4
1075.343147277832,36.8394889831543,0.9612905383110046,0.0,3,0,64,video-0.mp4
1207.8848724365234,35.76377487182617,0.9550783038139344,0.0,4,0,64,video-0.mp4
1252.2720794677734,35.58747482299805,0.953749656677246,0.0,5,0,64,video-0.mp4
1167.2048416137695,35.49394226074219,0.954842448234558,0.0,6,0,64,video-0.mp4
1796.1317291259766,35.716182708740234,0.9554346799850464,0.0,7,0,64,video-0.mp4
1799.107666015625,35.555667877197266,0.9567710757255554,0.0,8,0,64,video-0.mp4
1379.1925964355469,35.31901168823242,0.954481303691864,0.0,9,0,64,video-0.mp4
1480.5830535888672,35.12788391113281,0.953138530254364,0.0,10,0,64,video-0.mp4
1393.6754455566406,35.0422477722168,0.9536532759666444,0.0,11,0,64,video-0.mp4
1462.9493865966797,35.0000114440918,0.9550617933273317,0.0,12,0,64,video-0.mp4
1209.1874160766602,35.06402587890625,0.9545783996582032,0.0,13,0,64,video-0.mp4
1286.9641418457031,35.33468246459961,0.956898868083954,0.0,14,0,64,video-0.mp4
1173.0968475341797,35.53511047363281,0.9581868648529052,0.0,15,0,64,video-0.mp4
549.336067199707,42.401248931884766,0.9784411787986756,0.0,1,1,64,video-0.mp4
830.0348014831543,37.83242034912109,0.9651615023612976,0.0,2,1,64,video-0.mp4
1075.343147277832,36.83946990966797,0.96129047870636,0.0,3,1,64,video-0.mp4
1207.8848724365234,35.763771057128906,0.9550783038139344,0.0,4,1,64,video-0.mp4
1252.2720794677734,35.58746719360352,0.953749656677246,0.0,5,1,64,video-0.mp4
1167.2048416137695,35.493927001953125,0.9548423290252686,0.0,6,1,64,video-0.mp4
1796.1317291259766,35.7161865234375,0.9554346799850464,0.0,7,1,64,video-0.mp4
1799.107666015625,35.55567169189453,0.9567710161209106,0.0,8,1,64,video-0.mp4
1379.1925964355469,35.31901168823242,0.954481303691864,0.0,9,1,64,video-0.mp4
1480.5830535888672,35.12788772583008,0.9531384706497192,0.0,10,1,64,video-0.mp4
1393.6754455566406,35.0422477722168,0.9536532759666444,0.0,11,1,64,video-0.mp4
1462.9493865966797,35.000003814697266,0.955061674118042,0.0,12,1,64,video-0.mp4
1209.1874160766602,35.064022064208984,0.9545783996582032,0.0,13,1,64,video-0.mp4
1286.9641418457031,35.33467483520508,0.9568988084793092,0.0,14,1,64,video-0.mp4
1173.0968475341797,35.535118103027344,0.9581868052482604,0.0,15,1,64,video-0.mp4
549.336067199707,42.120384216308594,0.9783183336257936,0.1,1,1,64,video-0.mp4
830.0348014831543,37.75411224365234,0.9649218320846558,0.1,2,1,64,video-0.mp4
1075.343147277832,36.69014358520508,0.9609891176223756,0.1,3,1,64,video-0.mp4
1207.8848724365234,35.50176239013672,0.9543966054916382,0.1,4,1,64,video-0.mp4
1252.2720794677734,35.485198974609375,0.953478753566742,0.1,5,1,64,video-0.mp4
1167.2048416137695,35.27408218383789,0.9542971849441528,0.1,6,1,64,video-0.mp4
1796.1317291259766,35.335533142089844,0.9544223546981812,0.1,7,1,64,video-0.mp4
1799.107666015625,35.17924118041992,0.9559119939804076,0.1,8,1,64,video-0.mp4
1379.1925964355469,34.18303298950195,0.9531847238540648,0.1,9,1,64,video-0.mp4
1480.5830535888672,35.01089859008789,0.952806830406189,0.1,10,1,64,video-0.mp4
