psnr,ssim,size,yuvpsnr,yuvssim,bpp,loss,frame_id,model,video
44.56723403930664,0.9951684474945068,603153,0,0,2.18154296875,0,0,264-9,video_0a86_qrcode.yuv
42.895477294921875,0.9907387495040894,152863,0,0,0.5528899016203703,0,1,264-9,video_0a86_qrcode.yuv
43.12498474121094,0.9901056289672852,188673,0,0,0.6824110243055556,0,2,264-9,video_0a86_qrcode.yuv
43.09485626220703,0.9900235533714294,194745,0,0,0.7043728298611112,0,3,264-9,video_0a86_qrcode.yuv
43.08952713012695,0.9901190996170044,200328,0,0,0.7245659722222222,0,4,264-9,video_0a86_qrcode.yuv
43.13972091674805,0.9898130893707275,220041,0,0,0.7958658854166667,0,5,264-9,video_0a86_qrcode.yuv
42.72194290161133,0.9894203543663025,215494,0,0,0.779419849537037,0,6,264-9,video_0a86_qrcode.yuv
42.70618438720703,0.9894372224807739,204155,0,0,0.7384078414351852,0,7,264-9,video_0a86_qrcode.yuv
42.88236618041992,0.9893380999565125,215181,0,0,0.7782877604166667,0,8,264-9,video_0a86_qrcode.yuv
42.94678497314453,0.9890345335006714,220387,0,0,0.797117332175926,0,9,264-9,video_0a86_qrcode.yuv
42.91688919067383,0.9891047477722168,220709,0,0,0.7982819733796296,0,10,264-9,video_0a86_qrcode.yuv
43.046688079833984,0.9890093803405762,228186,0,0,0.8253255208333333,0,11,264-9,video_0a86_qrcode.yuv
42.85635757446289,0.9889333248138428,218410,0,0,0.7899667245370371,0,12,264-9,video_0a86_qrcode.yuv
42.65012741088867,0.9889323711395264,203519,0,0,0.736107494212963,0,13,264-9,video_0a86_qrcode.yuv
42.794578552246094,0.9889301657676697,219133,0,0,0.7925817418981481,0,14,264-9,video_0a86_qrcode.yuv
42.90665817260742,0.9889386892318726,210450,0,0,0.7611762152777778,0,15,264-9,video_0a86_qrcode.yuv
43.13833999633789,0.9889519214630127,226313,0,0,0.8185510706018518,0,16,264-9,video_0a86_qrcode.yuv
42.4992790222168,0.9880980253219604,294481,0,0,1.0651077835648148,0,17,264-9,video_0a86_qrcode.yuv
42.72243118286133,0.9881386756896973,235631,0,0,0.8522533275462963,0,18,264-9,video_0a86_qrcode.yuv
42.78948211669922,0.9884551763534546,217096,0,0,0.7852141203703704,0,19,264-9,video_0a86_qrcode.yuv
41.69022750854492,0.9934098720550537,479760,0,0,1.7352430555555556,0,0,264-12,video_0a86_qrcode.yuv
42.196044921875,0.9882230758666992,106222,0,0,0.3841941550925926,0,1,264-12,video_0a86_qrcode.yuv
42.36757278442383,0.9873153567314148,127498,0,0,0.4611472800925926,0,2,264-12,video_0a86_qrcode.yuv
42.47836685180664,0.9872886538505554,130553,0,0,0.4721969039351852,0,3,264-12,video_0a86_qrcode.yuv
42.37714767456055,0.9871747493743896,137666,0,0,0.497923900462963,0,4,264-12,video_0a86_qrcode.yuv
