psnr,ssim,size,yuvpsnr,yuvssim,bpp,loss,frame_id,model,video
45.709251403808594,0.994565486907959,219004,0,0,1.7822591145833333,0,0,264-9,video-0.mp4
45.67534255981445,0.9943870306015015,8546,0,0,0.06954752604166667,0,1,264-9,video-0.mp4
44.93178176879883,0.9901609420776367,106434,0,0,0.866162109375,0,2,264-9,video-0.mp4
44.68758010864258,0.9887571334838867,119498,0,0,0.9724772135416667,0,3,264-9,video-0.mp4
45.041622161865234,0.9906648397445679,123553,0,0,1.0054768880208333,0,4,264-9,video-0.mp4
44.684444427490234,0.9883091449737549,123500,0,0,1.0050455729166667,0,5,264-9,video-0.mp4
44.68639373779297,0.9880598783493042,120962,0,0,0.9843912760416667,0,6,264-9,video-0.mp4
44.67776107788086,0.9881137609481812,121993,0,0,0.9927815755208333,0,7,264-9,video-0.mp4
44.92784118652344,0.9899271726608276,121106,0,0,0.9855631510416667,0,8,264-9,video-0.mp4
44.57101058959961,0.9876985549926758,124597,0,0,1.0139729817708334,0,9,264-9,video-0.mp4
44.583248138427734,0.987399697303772,121594,0,0,0.9895345052083333,0,10,264-9,video-0.mp4
44.57365036010742,0.9872236251831055,118220,0,0,0.9620768229166666,0,11,264-9,video-0.mp4
44.844947814941406,0.9892698526382446,122366,0,0,0.9958170572916667,0,12,264-9,video-0.mp4
44.63203430175781,0.9877628087997437,115086,0,0,0.936572265625,0,13,264-9,video-0.mp4
44.68171691894531,0.9882019758224487,127943,0,0,1.0412027994791666,0,14,264-9,video-0.mp4
44.64866256713867,0.9879963397979736,122866,0,0,0.9998860677083333,0,15,264-9,video-0.mp4
45.0272102355957,0.9903011322021484,119306,0,0,0.9709147135416667,0,16,264-9,video-0.mp4
44.7111930847168,0.9880126714706421,126429,0,0,1.0288818359375,0,17,264-9,video-0.mp4
44.69169235229492,0.9873990416526794,114319,0,0,0.9303304036458333,0,18,264-9,video-0.mp4
44.66638946533203,0.9870598316192627,111454,0,0,0.9070149739583333,0,19,264-9,video-0.mp4
45.45953369140625,0.9932105541229248,164367,0,0,1.3376220703125,0,0,264-12,video-0.mp4
45.39971160888672,0.992926299571991,4500,0,0,0.03662109375,0,1,264-12,video-0.mp4
44.51152420043945,0.987684965133667,70529,0,0,0.5739664713541667,0,2,264-12,video-0.mp4
44.18004608154297,0.9857176542282104,79411,0,0,0.6462483723958333,0,3,264-12,video-0.mp4
44.59828186035156,0.9879328608512878,84322,0,0,0.6862141927083333,0,4,264-12,video-0.mp4
44.173606872558594,0.985255241394043,81607,0,0,0.6641194661458333,0,5,264-12,video-0.mp4
44.181949615478516,0.9851069450378418,79704,0,0,0.6486328125,0,6,264-12,video-0.mp4
44.16762924194336,0.9850974082946777,80666,0,0,0.6564615885416667,0,7,264-12,video-0.mp4
44.418785095214844,0.9870614409446716,82193,0,0,0.6688883463541667,0,8,264-12,video-0.mp4
44.03505325317383,0.9844893217086792,81639,0,0,0.6643798828125,0,9,264-12,video-0.mp4
44.015933990478516,0.984247624874115,79751,0,0,0.6490152994791667,0,10,264-12,video-0.mp4
44.03260040283203,0.9840610027313232,76506,0,0,0.622607421875,0,11,264-12,video-0.mp4
44.299827575683594,0.9862799644470215,82232,0,0,0.6692057291666667,0,12,264-12,video-0.mp4
44.11240768432617,0.9846376776695251,74500,0,0,0.6062825520833334,0,13,264-12,video-0.mp4
44.18118667602539,0.9851003885269165,84056,0,0,0.6840494791666667,0,14,264-12,video-0.mp4
44.15376281738281,0.9849414825439453,80536,0,0,0.6554036458333333,0,15,264-12,video-0.mp4
44.568546295166016,0.9876267313957214,80334,0,0,0.653759765625,0,16,264-12,video-0.mp4
44.20133972167969,0.9849278926849365,82260,0,0,0.66943359375,0,17,264-12,video-0.mp4
44.18031692504883,0.984288215637207,72555,0,0,0.5904541015625,0,18,264-12,video-0.mp4
44.15447235107422,0.9839296340942383,70024,0,0,0.5698567708333333,0,19,264-12,video-0.mp4
45.123016357421875,0.9913309812545776,122112,0,0,0.99375,0,0,264-15,video-0.mp4
45.054786682128906,0.9910374879837036,2947,0,0,0.023982747395833334,0,1,264-15,video-0.mp4
43.96318435668945,0.9850866198539734,46480,0,0,0.3782552083333333,0,2,264-15,video-0.mp4
43.6003532409668,0.9829561114311218,52055,0,0,0.4236246744791667,0,3,264-15,video-0.mp4
44.029319763183594,0.985538125038147,57778,0,0,0.47019856770833335,0,4,264-15,video-0.mp4
43.60658645629883,0.9825766086578369,53646,0,0,0.436572265625,0,5,264-15,video-0.mp4
43.59598159790039,0.9823827743530273,52276,0,0,0.4254231770833333,0,6,264-15,video-0.mp4
43.61227798461914,0.9826149940490723,53002,0,0,0.43133138020833334,0,7,264-15,video-0.mp4
43.8433723449707,0.9846648573875427,55329,0,0,0.4502685546875,0,8,264-15,video-0.mp4
43.398704528808594,0.9817995429039001,53316,0,0,0.43388671875,0,9,264-15,video-0.mp4
43.39690399169922,0.9814763069152832,51410,0,0,0.4183756510416667,0,10,264-15,video-0.mp4
43.36624526977539,0.9812935590744019,49238,0,0,0.40069986979166666,0,11,264-15,video-0.mp4
43.69367218017578,0.9837197065353394,55105,0,0,0.4484456380208333,0,12,264-15,video-0.mp4
43.488677978515625,0.981911838054657,47745,0,0,0.3885498046875,0,13,264-15,video-0.mp4
